horas_trabajadas;masculino;edad_ingreso;colegio_publico;argentino;activo_primer_anio;activo_segundo_anio;anios_en_unlu;aprobadas_1er_anio;anios_cursados;c_promociones_1er_anio;c_libres_1er_anio;c_regulares_1er_anio;c_ausentes_1er_anio;c_noausentes_1er_anio;cursadas_ap_1er_anio;cursadas_1er_anio;cambio_universidad;cambio_carrera;progresar;fracaso_academico
24;1;30;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;44;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;0;40;1;1;1;1;3;1;3;0;1;0;0;1;0;1;0;0;0;1
36;0;46;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;42;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;27;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;26;1;1;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0
0;0;26;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;26;1;1;0;0;;1;0;0;0;0;0;0;0;0;0;0;0;0
0;0;26;0;1;1;0;1;1;1;1;0;0;0;1;1;1;0;0;0;0
0;0;25;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;25;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;25;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;25;1;1;0;0;;1;0;0;0;0;0;0;0;0;0;0;0;0
0;0;25;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;25;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;24;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;24;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;0;42;1;1;1;1;4;1;3;1;0;1;5;3;2;8;0;0;0;0
24;1;23;0;1;1;1;2;3;2;3;0;1;2;4;4;6;0;0;0;0
9;1;41;0;1;1;0;1;0;1;0;2;0;1;2;0;3;0;0;0;1
45;0;27;0;1;1;1;4;4;3;3;0;1;5;5;4;10;0;0;0;0
45;0;27;1;1;1;1;4;5;3;1;1;0;0;2;1;2;0;0;0;0
0;0;28;1;1;1;0;1;0;1;0;1;0;0;1;0;1;0;0;0;1
0;0;27;1;1;1;1;4;0;3;0;0;0;3;0;0;3;0;0;0;0
0;0;18;1;1;1;1;4;2;3;1;1;1;0;3;2;3;0;0;0;0
0;0;30;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
45;0;31;1;1;1;1;2;0;2;0;1;0;3;1;0;4;0;0;0;0
0;0;52;1;1;1;1;4;1;3;1;1;1;0;3;2;3;0;0;0;0
20;0;24;0;1;1;1;4;9;3;7;0;5;1;12;12;13;0;1;0;0
46;1;31;1;1;1;0;1;0;1;0;0;0;4;0;0;4;0;0;0;0
0;0;25;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
36;1;33;1;1;1;1;2;4;2;3;1;4;0;8;7;8;0;1;0;0
30;1;23;1;1;1;1;2;3;2;2;3;2;0;7;4;7;1;0;0;0
0;1;20;1;1;1;1;4;6;3;3;0;4;0;7;7;7;0;0;0;0
40;0;34;0;1;1;0;1;0;1;0;0;0;3;0;0;3;0;0;0;0
0;0;26;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;26;1;1;1;0;1;0;1;0;0;2;0;2;2;2;0;0;0;0
6;0;18;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;25;1;1;1;1;2;2;2;2;0;0;1;2;2;3;0;0;0;0
15;1;28;1;1;1;0;4;0;1;0;0;1;0;3;1;3;0;0;0;0
0;0;24;0;1;1;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0
40;1;30;1;1;1;1;2;6;2;5;0;1;0;6;6;6;0;0;0;0
55;0;30;1;1;1;1;2;0;2;0;0;0;4;0;0;4;0;0;0;0
0;0;24;1;1;1;1;2;0;2;0;0;4;0;4;4;4;0;1;0;0
3;0;18;1;1;1;1;4;7;3;5;0;2;0;7;7;7;0;0;1;0
0;1;18;0;1;1;1;4;1;3;0;3;1;1;4;1;5;0;0;0;1
0;1;18;0;1;1;0;4;0;1;0;0;0;3;0;0;3;0;0;0;0
0;1;18;0;1;1;0;4;1;1;0;0;3;0;3;3;3;0;0;0;0
0;1;17;0;1;1;1;4;1;3;0;4;2;0;7;2;7;0;0;0;1
0;1;18;0;1;1;1;4;0;3;0;4;1;0;6;1;6;0;0;1;1
0;0;18;0;1;1;0;1;1;1;1;2;0;2;3;1;5;0;0;0;0
0;0;17;0;1;1;1;4;4;3;2;1;4;2;7;6;9;0;0;0;0
0;1;17;0;1;1;1;4;3;3;2;1;3;1;6;5;7;0;0;1;0
0;1;18;0;1;1;1;4;7;3;4;0;3;0;7;7;7;0;1;1;0
0;1;21;1;1;1;1;2;0;2;0;3;0;0;3;0;3;0;0;1;1
30;0;36;1;1;1;1;4;5;3;5;0;0;2;5;5;7;0;0;0;0
0;0;18;0;1;1;1;4;7;3;3;1;6;0;10;9;10;0;0;0;0
0;0;17;0;1;1;1;4;7;3;4;2;4;0;10;8;10;0;0;1;0
